"","p_val","avg_diff","pct.1","pct.2","cluster","gene"
"Sp1004",8.9550721975956e-26,0.310653411388244,0.334,0.26,"5","Sp100"
"4930523C07Rik3",8.98053586670269e-26,0.320043911708865,0.367,0.297,"5","4930523C07Rik"
"Cytip3",1.15948899484295e-25,0.262891264309771,0.546,0.494,"5","Cytip"
"Cd533",1.27009160236734e-21,0.294099271254021,0.609,0.514,"5","Cd53"
"Gm267404",5.09189814206401e-21,0.289497550667586,0.357,0.275,"5","Gm26740"
"Cd8b1",0,2.09015305728875,0.762,0.013,"6","Cd8b1"
"Cd3d1",0,1.8255401847477,0.896,0.066,"6","Cd3d"
"Cd3g1",0,1.68460019127345,0.87,0.064,"6","Cd3g"
"Ms4a4b1",0,1.58883339818604,0.849,0.109,"6","Ms4a4b"
"Thy11",0,1.41433916840758,0.712,0.052,"6","Thy1"
"Cd8a",0,1.35246235843428,0.548,0.006,"6","Cd8a"
"Nkg7",0,1.29832737426705,0.845,0.079,"6","Nkg7"
"Rpl124",0,1.19576629941418,0.998,0.921,"6","Rpl12"
"Rpsa5",0,0.877882020800847,0.998,0.943,"6","Rpsa"
"Tmsb104",8.39630301654659e-316,0.840254819796991,1,0.855,"6","Tmsb10"
"Il7r1",2.39526305442811e-313,1.37860064612649,0.672,0.073,"6","Il7r"
"Rpl36a4",2.43431149797291e-309,0.838420035976588,0.998,0.94,"6","Rpl36a"
"Rpl53",1.24715485128987e-302,0.823308457238377,0.997,0.908,"6","Rpl5"
"Rpl310",3.12314865050388e-301,0.831699532018071,0.995,0.921,"6","Rpl3"
"Lck1",2.49260673657224e-294,1.24610676441571,0.664,0.076,"6","Lck"
"Cd3e1",3.98151007777449e-279,1.08739243117404,0.526,0.035,"6","Cd3e"
"Dapl11",4.49451529750777e-263,1.50029081813216,0.438,0.019,"6","Dapl1"
"Rpl44",3.80259458118083e-259,0.77630835351741,0.997,0.931,"6","Rpl4"
"Rpl10a5",3.27614752758774e-258,0.735766828069441,0.997,0.925,"6","Rpl10a"
"Eef1b23",5.8150413432568e-249,0.80798706999083,0.962,0.84,"6","Eef1b2"
"Tcf71",2.00149677629667e-247,1.03005442308086,0.489,0.036,"6","Tcf7"
"H2-Q72",1.36754077968148e-243,1.17506093376063,0.773,0.196,"6","H2-Q7"
"Ctsw",9.31665849337884e-242,0.97858261557237,0.494,0.042,"6","Ctsw"
"Rpl22l12",2.62968543377783e-241,0.860981072656029,0.958,0.821,"6","Rpl22l1"
"Lef11",5.85903147826673e-241,1.05670840721353,0.473,0.033,"6","Lef1"
"Ltb6",6.04989996973627e-239,1.04529735225139,0.84,0.236,"6","Ltb"
"Skap11",2.58663147019958e-233,1.04351438294315,0.535,0.054,"6","Skap1"
"Saraf4",1.96135128777004e-231,1.02090525564729,0.773,0.352,"6","Saraf"
"Eef1g4",2.33950459062541e-226,0.807407866688753,0.959,0.785,"6","Eef1g"
"Lat1",4.9775917806005e-224,1.03221566191616,0.556,0.07,"6","Lat"
"Txk1",2.98454381017557e-221,1.03081708600515,0.538,0.063,"6","Txk"
"Rps27",8.12364350982314e-220,0.729782528011532,0.992,0.937,"6","Rps2"
"Npm12",4.39270046247535e-213,0.799749615423162,0.949,0.784,"6","Npm1"
"Klk8",1.28928286512266e-210,0.972406205471766,0.443,0.041,"6","Klk8"
"Ptprcap4",7.38197007916535e-204,0.872298776780095,0.753,0.198,"6","Ptprcap"
"Bcl22",2.380309357924e-202,1.18447360697613,0.623,0.127,"6","Bcl2"
"Fam189b1",3.98105770279937e-192,0.935497459186449,0.434,0.045,"6","Fam189b"
"Gnb2l13",7.50621689402995e-189,0.652908444916161,0.994,0.911,"6","Gnb2l1"
"Rpl353",1.0005497975806e-188,0.668294924494127,0.998,0.946,"6","Rpl35"
"AW1120104",7.42079022788921e-188,0.726243167407799,0.786,0.277,"6","AW112010"
"Hcst5",9.01800145825056e-188,1.05001682035148,0.765,0.278,"6","Hcst"
"Rpl272",1.43469007034675e-185,0.649982941063391,0.994,0.916,"6","Rpl27"
"Gm100734",3.5344473805618e-173,0.907987923397247,0.968,0.841,"6","Gm10073"
"Gimap32",6.366345865913e-167,1.0065128803607,0.526,0.09,"6","Gimap3"
"Sept13",5.97642066531889e-165,0.924472078132672,0.571,0.122,"6","Sept1"
"Klrd1",1.44944500430017e-161,0.826234931780296,0.473,0.081,"6","Klrd1"
"Rpl152",4.91574263249578e-159,0.745924952107071,0.959,0.821,"6","Rpl15"
"Ccr72",3.81501084180399e-156,0.828404698135138,0.505,0.092,"6","Ccr7"
"Ms4a6b6",4.20702776241158e-154,0.900990014360462,0.736,0.251,"6","Ms4a6b"
"Satb11",9.68216169438085e-148,0.850064683155929,0.47,0.078,"6","Satb1"
"Rpl223",1.86129011794887e-145,0.518114380163959,0.995,0.935,"6","Rpl22"
"Rpl293",3.68024547281193e-145,0.564561247681583,0.989,0.917,"6","Rpl29"
"Gimap42",6.06900624014333e-145,0.913169088620831,0.557,0.124,"6","Gimap4"
"Cd2471",2.22133721398333e-143,0.71416513027685,0.352,0.037,"6","Cd247"
"Dnajc154",8.55173769970022e-138,0.80110075145315,0.584,0.266,"6","Dnajc15"
"Epsti13",5.23128835102252e-136,0.890793585847857,0.605,0.218,"6","Epsti1"
"Gm94932",5.49779363178118e-136,0.726957128315318,0.753,0.491,"6","Gm9493"
"Itk",5.27805373079969e-125,0.600679877196652,0.264,0.019,"6","Itk"
"H2-K12",8.61153376492807e-120,0.556170511404007,0.988,0.889,"6","H2-K1"
"Ets12",2.63026069058786e-117,0.742815029132847,0.559,0.161,"6","Ets1"
"Prkcq",6.42419839664634e-117,0.674268050159919,0.283,0.026,"6","Prkcq"
"Limd23",2.84590988106415e-115,0.692675686940324,0.806,0.491,"6","Limd2"
"Ablim12",5.08937650997394e-115,0.784866582190554,0.506,0.149,"6","Ablim1"
"Cd281",6.17439117778902e-113,0.610163959104076,0.282,0.03,"6","Cd28"
"Arl4c1",2.23730390574548e-112,0.749834997837593,0.468,0.169,"6","Arl4c"
"Rac25",1.09738531152822e-111,0.587216748776759,0.919,0.579,"6","Rac2"
"Gimap62",2.31082095931635e-107,0.669341764056012,0.541,0.161,"6","Gimap6"
"Pdcd45",3.15251938900679e-107,0.762762114285058,0.592,0.229,"6","Pdcd4"
"Rps27rt4",5.61919656349559e-107,0.709604406575451,0.867,0.722,"6","Rps27rt"
"Shisa54",8.82642526149877e-106,0.614237418823032,0.889,0.661,"6","Shisa5"
